Wall time,Step,Value
1660324656.9705722,0,-1007.3867797851562
1660324683.7464874,1,-1302.11328125
1660324709.26493,2,-985.5432739257812
1660324732.284066,3,-1279.0084228515625
1660324754.6339397,4,-1321.5303955078125
1660324776.5752616,5,-913.3028564453125
1660324800.6512773,6,-780.5076904296875
1660324823.4590633,7,-905.9584350585938
1660324844.2127595,8,-975.7256469726562
1660324868.0573456,9,-1004.5296630859375
1660324891.5038395,10,-881.0620727539062
1660324913.8046625,11,-825.0659790039062
1660324936.8173325,12,-794.1218872070312
1660324959.1124296,13,-898.11962890625
1660324981.6419885,14,-874.2448120117188
1660325004.471259,15,-1030.5302734375
1660325025.4194846,16,-984.0397338867188
1660325048.3086495,17,-921.0409545898438
1660325068.7527096,18,-1081.962646484375
1660325090.0314643,19,-845.9647216796875
1660325113.1503055,20,-808.4132080078125
1660325134.8694623,21,-800.684814453125
1660325158.739105,22,-738.2025146484375
1660325179.8222232,23,-898.4995727539062
1660325203.2674627,24,-787.2332763671875
1660325227.0645664,25,-653.4175415039062
1660325252.9181695,26,-523.7607421875
1660325275.0911927,27,-861.21044921875
1660325297.4626975,28,-521.9659423828125
1660325321.3235157,29,-715.9039306640625
1660325344.008259,30,-667.0928344726562
1660325366.4287243,31,-696.6981201171875
1660325387.8321571,32,-734.5239868164062
1660325409.1030688,33,-532.5541381835938
1660325431.0163436,34,-533.7432250976562
1660325455.4824522,35,-667.175537109375
1660325476.218105,36,-509.8056945800781
1660325499.1952817,37,-629.1860961914062
1660325521.8884103,38,-589.3842163085938
1660325545.6831415,39,-642.4871215820312
1660325568.6274922,40,-593.9287719726562
1660325593.8176138,41,-360.4923095703125
1660325617.854893,42,-574.5050048828125
1660325639.8068457,43,-449.5517272949219
1660325661.6472647,44,-472.8988037109375
1660325684.4474616,45,-499.94378662109375
1660325705.6649127,46,-204.3191680908203
1660325727.3555152,47,-384.1412353515625
1660325749.7962558,48,-580.9827270507812
1660325774.1665664,49,-415.24127197265625
1660325798.405072,50,-504.84161376953125
1660325828.1617413,51,-473.20867919921875
1660325850.2646213,52,-402.2310485839844
1660325870.300585,53,-705.137451171875
1660325892.145495,54,-362.99639892578125
1660325915.1539674,55,-594.5548706054688
1660325936.6768303,56,-407.2418518066406
1660325959.5385115,57,-474.8731384277344
1660325981.722473,58,-379.6736145019531
1660326005.5032609,59,-409.2576904296875
1660326027.138282,60,-454.6557312011719
1660326048.2852635,61,-565.4641723632812
1660326069.509387,62,-419.4998779296875
1660326090.3674169,63,-385.7308654785156
1660326113.8345032,64,-301.5483093261719
1660326137.942827,65,-374.5394592285156
1660326160.469377,66,-506.4497985839844
1660326184.462005,67,-364.1370544433594
1660326210.0497675,68,-514.4818725585938
1660326236.1463094,69,-588.8085327148438
1660326259.2975552,70,-344.03582763671875
1660326280.6004086,71,-614.5278930664062
1660326302.0144217,72,-587.971435546875
1660326325.8670335,73,-320.2117919921875
1660326348.7895608,74,-506.1214599609375
1660326371.166856,75,-282.8803405761719
1660326394.1301534,76,-486.8424072265625
1660326415.8419003,77,-415.5069274902344
1660326438.3301814,78,-525.5304565429688
1660326461.2114704,79,-284.1490783691406
1660326483.36038,80,-289.58612060546875
1660326504.0118341,81,-482.1542053222656
1660326525.8154092,82,41.31551742553711
1660326550.4974768,83,-615.5577392578125
1660326573.8110693,84,40.587955474853516
1660326596.000764,85,-228.0186004638672
1660326616.9763508,86,-508.4555969238281
1660326640.1375933,87,-239.5946807861328
1660326662.7102742,88,-290.8912658691406
1660326686.3258123,89,-178.6094512939453
1660326709.1201003,90,-78.08954620361328
1660326731.78259,91,-488.59954833984375
1660326754.743576,92,-337.49664306640625
1660326777.3862636,93,-194.65679931640625
1660326799.671778,94,-147.91580200195312
1660326823.4164567,95,-313.859375
1660326844.8686483,96,-272.8164367675781
1660326865.0561771,97,-462.2860412597656
1660326887.3881783,98,-225.26634216308594
1660326909.171027,99,-235.42703247070312
1660326930.0861971,100,-348.871337890625
1660326962.089438,101,-427.3091735839844
1660326986.8311105,102,-324.19769287109375
1660327010.2618468,103,-440.9801940917969
1660327032.1058023,104,-227.37847900390625
1660327055.9959154,105,-269.740234375
1660327078.066217,106,-249.70506286621094
