Wall time,Step,Value
1662113463.7959268,0,-1114.646240234375
1662113488.3628736,1,-1590.991943359375
1662113508.6935997,2,-1046.4254150390625
1662113528.9351268,3,-932.4114379882812
1662113549.2387197,4,-992.38525390625
1662113568.967805,5,-1198.5419921875
1662113588.890279,6,-786.1748657226562
1662113607.0746627,7,-913.9776611328125
1662113625.4464443,8,-1221.2398681640625
1662113644.0291762,9,-1190.2430419921875
1662113662.335533,10,-951.8933715820312
1662113680.9379523,11,-1080.4052734375
1662113699.8975158,12,-832.677001953125
1662113719.5628645,13,-755.7208862304688
1662113739.191515,14,-563.3309936523438
1662113759.1538415,15,-976.3986206054688
1662113779.234983,16,-659.7899169921875
1662113799.0085516,17,-521.656494140625
1662113818.3200533,18,-971.8933715820312
1662113836.8579779,19,-547.2149658203125
1662113856.5848749,20,-739.2994384765625
1662113875.6984653,21,-585.1336059570312
1662113894.0278172,22,-834.2965087890625
1662113913.7723806,23,-768.4111938476562
1662113933.2845573,24,-454.3089599609375
1662113953.0008838,25,-562.0056762695312
1662113972.7551496,26,-704.71044921875
1662113992.807957,27,-402.86114501953125
1662114012.263046,28,-399.970947265625
1662114030.9719026,29,-556.8270263671875
1662114050.159266,30,-677.2083740234375
1662114069.2585092,31,-563.6959228515625
1662114087.688037,32,-479.02520751953125
1662114107.1287756,33,-499.3360900878906
1662114126.0309227,34,-594.9749145507812
1662114144.416898,35,-489.4151916503906
1662114163.4744568,36,-451.93084716796875
1662114182.8774238,37,-429.7156677246094
1662114202.2407436,38,-477.5819396972656
1662114222.2040238,39,-686.6465454101562
1662114241.5666482,40,-556.1065673828125
1662114259.6854274,41,-382.2919616699219
1662114278.5488076,42,-315.4485778808594
1662114297.3134556,43,-755.392578125
1662114317.3703458,44,-460.2711486816406
1662114337.3899863,45,-495.76934814453125
1662114357.6090364,46,-690.448974609375
1662114377.071506,47,-309.8435363769531
1662114396.805461,48,-433.5577392578125
1662114416.5477912,49,-557.0730590820312
1662114434.4877894,50,-869.57861328125
1662114462.7588072,51,-452.5738220214844
